word, total-reached, POS, num-definitions-considered
polymerase, 2969, n, 1
millimicron, 2966, n, 1
tradecraft, 2965, n, 1
Sadat, 2963, n, 1
Byzantine, 2964, n, 1
dogmatic, 2964, n, 1
makeup, 2963, n, 1
Raoulia_lutescens, 2965, n, 1
haem, 2964, n, 1
Eskimo_dog, 2973, n, 1
gibbose, 2964, n, 1
send_out, 2964, n, 1
membrane-forming, 2964, n, 1
short-tailed, 2964, n, 1
classic, 2968, n, 1
genus_Ameiurus, 2968, n, 1
Kublai_Khan, 2997, n, 1
backspacer, 2981, n, 1
Alvar_Aalto, 2988, n, 1
chicory_root, 2969, n, 1
Aelius_Donatus, 2969, n, 1
semilunar_bone, 2964, n, 1
contrarily, 2964, n, 1
tamper, 2968, n, 1
squelcher, 2966, n, 1
sky, 2967, n, 1
shock, 2970, n, 1
genus_Oriolus, 2965, n, 1
khaki_fabric, 2964, n, 1
catch, 2968, n, 1
discover, 2964, n, 1
seed_shrimp, 2966, n, 1
micro_chip, 3029, n, 1
pneumothorax, 2967, n, 1
sponge, 2974, n, 1
infix, 2965, n, 1
stipendiary, 2968, n, 1
brake_system, 2967, n, 1
order_Batrachia, 2964, n, 1
shop, 2966, n, 1
go_home, 2964, n, 1
determination, 2964, n, 1
timekeeper, 2964, n, 1
Air_Combat_Command, 2978, n, 1
nark, 2967, n, 1
Georgian, 2965, n, 1
get_off, 2966, n, 1
determinedly, 2964, n, 1
Bavarian_blue, 2969, n, 1
Alupent, 2988, n, 1
nimbus_cloud, 2964, n, 1
superscription, 2965, n, 1
indiscernible, 2964, n, 1
quill_pen, 2968, n, 1
cylinder, 2963, n, 1
Fresno, 2967, n, 1
slip_of_the_tongue, 2983, n, 1
town_house, 2964, n, 1
problem-oriented_language, 2966, n, 1
observant, 2964, n, 1
while, 2964, n, 1
Atreus, 2984, n, 1
mucocutaneous, 2964, n, 1
fool_away, 1, n, 1
reign, 2966, n, 1
little_toe, 2965, n, 1
excruciating, 1, n, 1
Tarahumara, 2965, n, 1
biotypic, 2966, n, 1
tyre, 2980, n, 1
cardoon, 2964, n, 1
family_Mullidae, 2964, n, 1
clothes_drier, 2970, n, 1
unmilitary, 2964, n, 1
altar, 3012, n, 1
making_love, 2964, n, 1
Isurus_oxyrhincus, 2969, n, 1
noetic, 2964, n, 1
celebration, 2963, n, 1
straightway, 1, n, 1
lavishly, 2964, n, 1
diminutiveness, 2964, n, 1
false, 2968, n, 1
straightness, 2965, n, 1
dram, 2970, n, 1
toxic_waste_site, 2964, n, 1
undetermined, 1, n, 1
apprehensiveness, 2964, n, 1
blue_crab, 2971, n, 1
emirate, 2966, n, 1
snake_plant, 2965, n, 1
Cryptocercus, 1, n, 1
incidence_angle, 2966, n, 1
probably, 2964, n, 1
entryway, 2964, n, 1
linguini, 2966, n, 1
