word, total-reached, POS, num-definitions-considered
orangutan, 10476, nvar, 1
temporal, 10470, nvar, 1
leviathan, 10471, nvar, 1
kumquat, 10474, nvar, 1
anion, 10470, nvar, 1
liger, 10505, nvar, 1
fractal, 10475, nvar, 1
quasar, 10472, nvar, 1
tortoise, 10511, nvar, 1
chutzpah, 10481, nvar, 1
chutney, 10481, nvar, 1
indigo, 10473, nvar, 1
lima, 10475, nvar, 1
quartile, 10472, nvar, 1
quell, 10472, nvar, 1
quiver, 10470, nvar, 1
flint, 10472, nvar, 1
insipid, 10472, nvar, 1
pallid, 10471, nvar, 1
clement, 10471, nvar, 1
zenith, 10472, nvar, 1
mauve, 10470, nvar, 1
perihelion, 10477, nvar, 1
cosmic, 10472, nvar, 1
philology, 10472, nvar, 1
neanderthal, 10476, nvar, 1
ricin, 10478, nvar, 1
prehensile, 10472, nvar, 1
tuatara, 10486, nvar, 1
anemic, 10471, nvar, 1
flippant, 10473, nvar, 1
quark, 10472, nvar, 1
lepton, 10474, nvar, 1
meson, 10475, nvar, 1
tire, 10470, nvar, 1
yellow, 10470, nvar, 1
incapacitate, 10471, nvar, 1
speckled, 10471, nvar, 1
silicon, 10482, nvar, 1
pith, 10470, nvar, 1
tannin, 10470, nvar, 1
ferrous, 10471, nvar, 1
indignant, 10472, nvar, 1
lexical, 10471, nvar, 1
flurry, 10477, nvar, 1
car, 10470, nvar, 1
slick, 10473, nvar, 1
cycle, 10470, nvar, 1
howl, 10472, nvar, 1
mythical, 10470, nvar, 1
oppose, 10470, nvar, 1
dissent, 10470, nvar, 1
descent, 10470, nvar, 1
gentle, 10472, nvar, 1
gale, 10471, nvar, 1
jail, 10477, nvar, 1
corrugated, 10471, nvar, 1
pelt, 10474, nvar, 1
smelt, 10470, nvar, 1
tanner, 10471, nvar, 1
ring, 10470, nvar, 1
reflection, 10470, nvar, 1
powder, 10470, nvar, 1
concrete, 10470, nvar, 1
overhang, 10472, nvar, 1
chimney, 10475, nvar, 1
branch, 10470, nvar, 1
twig, 10473, nvar, 1
door, 10470, nvar, 1
creak, 10479, nvar, 1
glass, 10470, nvar, 1
collapse, 10470, nvar, 1
implode, 10471, nvar, 1
turtle, 10476, nvar, 1
chinchilla, 10472, nvar, 1
corpus, 10471, nvar, 1
lemur, 10475, nvar, 1
cyprus, 10477, nvar, 1
koala, 10479, nvar, 1
manticore, 10503, nvar, 1
eucalyptus, 10472, nvar, 1
palm, 10470, nvar, 1
pegasus, 10505, nvar, 1
fingerprint, 10470, nvar, 1
crease, 10472, nvar, 1
oil, 10470, nvar, 1
catalytic, 10474, nvar, 1
endemic, 10473, nvar, 1
euphoria, 10473, nvar, 1
sanguine, 10473, nvar, 1
pigeon, 10471, nvar, 1
consanguinity, 10471, nvar, 1
consubstantiation, 10476, nvar, 1
chrysanthemum, 10471, nvar, 1
tangent, 10471, nvar, 1
ambergris, 10481, nvar, 1
filler, 10472, nvar, 1
kite, 10473, nvar, 1
bole, 10470, nvar, 1
boll, 10475, nvar, 1
weevil, 10475, nvar, 1
talk, 1984, var, 3
less, 1983, var, 3
smile, 1984, var, 3
more, 1995, var, 3
story, 1988, var, 2
shot, 1988, var, 2
union, 1994, var, 2
story, 686, ar, 2
shot, 691, ar, 2
union, 707, ar, 2
tonight, 686, ar, 5
utopia, 2072, ar, 3
dystopia, 2071, ar, 3
salamander, 10471, nvar, 1
clementine, 10476, nvar, 1
cloister, 10473, nvar, 1
nahuatl, 10471, nvar, 1
cacao, 10471, nvar, 1
chicano, 10473, nvar, 1
