word, frequency
translucent, 1
contracted, 1
year, 1
switches, 1
reflected, 1
Black, 1
without, 1
via, 1
Whirlaway, 0
visual, 1
bay, 1
hand-to-hand_struggle, 0
gaining, 1
agreement, 1
an, 13
former, 1
persons, 2
as, 5
at, 1
triple, 1
advancement, 1
genus, 1
left, 2
Atlantic, 1
newspaper, 1
BC, 2
southern, 1
geographical, 1
be, 1
weeks, 1
Balochi, 0
facing, 1
latchkey, 0
opposition, 1
characters, 1
Keokuk, 0
Seleucus_I, 0
eucalypts, 1
by, 5
latch, 1
close, 1
a, 34
cultivated, 1
business, 1
Nazi, 1
emotional, 0
founded, 1
Nova, 1
possible, 1
right, 1
printing, 1
Centrosema_virginianum, 0
the, 38
tropical, 1
consisting, 1
s, 1
dissect, 1
sweet, 1
god, 1
treadmill, 0
essential, 1
daintily, 0
sometimes, 2
historical, 1
language, 2
do, 0
excessively, 1
farmland, 1
empty, 1
institution, 1
act, 2
post, 1
extropy, 0
vaudeville_theater, 0
prior, 1
won, 1
warning, 0
North, 2
imperfection, 1
leathery, 1
Christ, 1
which, 6
Holy_Sepulchre, 0
1905-1981, 1
its, 1
Italy, 1
exchange, 1
boasting, 1
western, 1
eucalyptus_oil, 0
gum_terpentine, 0
Alexander, 1
Afghanistan, 1
importance, 1
for, 10
back, 3
capable, 1
endless, 1
1790-1848, 1
stipulatory, 0
symbolized, 1
farmed, 1
behave, 1
preterm_baby, 0
responsible, 1
unfair, 1
soften, 1
hemisphere, 1
just, 0
human, 1
gestation, 1
over, 1
directed, 1
custom, 1
home, 1
noted, 1
travels, 1
with, 5
Speer, 0
Asia, 2
universe, 1
endogamous, 0
family, 1
taking, 1
oceanfront, 0
very, 1
practice, 1
injustice, 0
Seleucus_I_Nicator, 0
entire, 1
changing, 1
358-281, 1
nab, 0
tape, 1
alphabetic, 1
property, 1
usually, 1
Hitler, 1
if, 1
order, 2
crown, 1
violently, 1
similar, 1
period, 1
surface, 1
large, 1
luster, 0
in, 18
belt, 1
made, 1
unconventional, 1
corporation, 2
vain, 1
Macedonian, 1
is, 5
being, 4
intelligence, 1
left_atrioventricular_valve, 0
accompanied, 1
system, 1
analyze, 1
messages, 1
hand-to-hand, 1
doh, 0
whereby, 1
stemmed, 0
operates, 1
against, 1
Persian, 1
skin, 1
ventricle, 1
premie, 0
top, 1
legally, 1
orderly, 1
man, 1
characterized, 1
within, 1
Switzerland, 1
nautical, 1
prostrate, 1
names, 1
removed, 1
species, 1
machine, 1
Caribbean, 1
entity, 1
Seleucus, 0
New, 2
